indicator_id,indicator_label,area_code,area_name,area_type,sex,age,year,value,lower_ci,upper_ci,count,denominator,compared_to_england
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2016 - 18,218.14061,199.59966,237.93651,512,249004,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2016 - 18,288.17451,272.84493,304.13874,1331,498756,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2017,368.00698,325.95861,413.95387,280,83313,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2017,218.87796,187.30225,254.24044,172,82994,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2017,292.30874,265.88649,320.63886,452,166307,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2017 - 19,342.86801,319.21276,367.80641,786,250164,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2017 - 19,206.36059,188.49556,225.45874,493,250263,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2017 - 19,272.85522,258.05782,288.27787,1279,500427,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2018,357.97228,316.58002,403.25357,273,83254,Similar
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2018,204.66748,174.36063,238.71438,163,83330,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2018,279.22261,253.5401,306.79463,436,166584,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2018 - 20,339.46854,316.03368,364.17544,785,251088,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2018 - 20,210.33803,192.456,229.4304,512,251890,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2018 - 20,272.83813,258.14036,288.15251,1297,502978,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2019,302.20543,264.4899,343.77261,233,83597,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2019,194.63942,165.37668,227.57381,158,83939,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2019,246.43906,222.53356,272.20591,391,167536,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2019 - 21,335.78547,312.60647,360.22262,785,253195,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2019 - 21,225.12172,206.72294,244.71488,555,254084,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2019 - 21,278.6192,263.84894,293.99885,1340,507279,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Male,<75 yrs,2020,358.5667,317.52753,403.41798,279,84237,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Female,<75 yrs,2020,232.26476,200.38204,267.76419,191,84621,Better
108,Under 75 mortality rate from all causes,E07000084,Basingstoke and Deane,district,Persons,<75 yrs,2020,293.40785,267.37738,321.28018,470,168858,Better
